word	word_count	mean_sent_length	final_count	solo_count
	38241.0	7.172772678538741	7513.0	1895.0
knockoff	1.0	19.0	0.0	0.0
engie	1.0	4.0	0.0	0.0
brp	2.0	4.0	1.0	1.0
wonka's	1.0	2.0	0.0	0.0
wurk	4.0	2.75	3.0	0.0
appliances	2.0	8.5	2.0	0.0
clarence	10.0	4.8	4.0	3.0
significance	1.0	23.0	0.0	0.0
heart's	3.0	5.333333333333333	0.0	0.0
pouring	92.0	8.673913043478262	19.0	0.0
atrocious	2.0	6.5	1.0	1.0
though's	1.0	11.0	0.0	0.0
appendicitis	1.0	10.0	1.0	0.0
fears	2.0	21.5	0.0	0.0
peeps	2.0	2.5	2.0	0.0
strolling	1.0	10.0	0.0	0.0
prarie	1.0	21.0	0.0	0.0
punishments	1.0	39.0	0.0	0.0
cheating	59.0	4.728813559322034	44.0	0.0
potter's	2.0	7.5	0.0	0.0
coleslaw	1.0	3.0	1.0	0.0
ewww's	10.0	7.3	3.0	1.0
mathilda	17.0	8.529411764705882	4.0	0.0
feat	4.0	8.0	2.0	0.0
shortened	4.0	12.25	1.0	0.0
dadadadadadada	8.0	1.0	8.0	8.0
extended	3.0	17.333333333333332	1.0	0.0
obsessive	1.0	2.0	1.0	0.0
jade	2.0	13.0	2.0	0.0
fizzie	21.0	4.857142857142857	17.0	1.0
level	70.0	11.057142857142857	33.0	0.0
tribe	1.0	29.0	0.0	0.0
bity	1.0	12.0	0.0	0.0
barns	11.0	8.272727272727273	7.0	0.0
rotation	1.0	9.0	0.0	0.0
mutt	7.0	6.0	6.0	0.0
awn	2.0	3.5	1.0	0.0
startin	29.0	8.206896551724139	3.0	0.0
sheepskin	1.0	7.0	0.0	0.0
moore	6.0	8.0	2.0	0.0
walendas	5.0	7.2	1.0	0.0
godzilla's	1.0	3.0	0.0	0.0
greens	84.0	7.583333333333333	35.0	2.0
strings	67.0	11.522388059701493	33.0	3.0
akikikikikiki	1.0	1.0	1.0	1.0
gretchen's_house	1.0	5.0	1.0	0.0
relying	1.0	8.0	0.0	0.0
residence	1.0	6.0	0.0	0.0
phone's	31.0	4.967741935483871	0.0	0.0
taxpayers's	1.0	29.0	0.0	0.0
corvette	7.0	3.7142857142857144	4.0	1.0
boxed	1.0	4.0	0.0	0.0
colorform	2.0	9.0	1.0	0.0
mouthing	4.0	12.25	1.0	0.0
